GPS纬度,GPS经度,谷歌地图纬度,谷歌地图经度,百度纬度,百度经度,地址,邮编,关键词
29.7079666407,115.9959227984,29.7054133455,116.0009921734,29.71134,116.007533,江西省九江市浔阳区长虹大道66,-,江西省 九江市
29.2712122426,117.1726646121,29.2686010382,117.178002208,29.274248,117.184574,江西省景德镇市昌江区瓷都大道686号,-,江西省 景德镇市
28.2631599501,117.0637394692,28.2600227831,117.0690019633,28.265787,117.075573,江西省鹰潭市月湖区府前路3号,-,江西省 鹰潭市
27.8212845585,114.9121513658,27.8178258442,114.9169847064,27.823579,114.923539,江西省新余市渝水区仙来中大道288,-,江西省 新余市
27.625692094,113.8496844558,27.6223033918,113.8550113229,27.628393,113.861499,江西省萍乡市安源区迎宾路32,-,江西省 萍乡市
25.8322751212,114.9292840313,25.8290789056,114.9339939903,25.835176,114.940508,江西省赣州市章贡区兴国路,-,江西省 赣州市
28.4577763447,117.9380285288,28.4543618128,117.9429906155,28.460626,117.949463,江西省上饶市信州区,-,江西省 上饶市
27.9522841142,116.3529935814,27.9491328354,116.3579717612,27.954893,116.364537,江西省抚州市临川区赣东大道33号,-,江西省 抚州市
27.8182869305,114.4116803828,27.8151935451,114.4169911566,27.820856,114.42356,江西省宜春市袁州区,-,江西省 宜春市
27.117169338,114.9890162287,27.11380318,114.9939675865,27.119727,115.000514,江西省吉安市吉州区鹭洲东路1号,-,江西省 吉安市
36.6497817915,117.1138608116,36.6502164797,117.1199869771,36.656554,117.126399,山东省济南市历下区龙奥南路,-,山东省 济南市
36.4570220578,115.9793343791,36.4570781529,115.9849777469,36.462759,115.991588,山东省聊城市东昌府区东昌西路24号,-,山东省 聊城市
37.4345096242,116.3531277884,37.4353701121,116.3590179194,37.441308,116.365553,山东省德州市德城区东风东路1566号,-,山东省 德州市
37.4326235731,118.6693412763,37.4332795895,118.6749792796,37.439642,118.681384,山东省东营市东营区府前大街77号,-,山东省 东营市
36.8124615025,118.0489325123,36.8129597089,118.0549889403,36.819085,118.061455,山东省淄博市张店区人民西路8号,-,山东省 淄博市
36.7058654553,119.1561041161,36.7063170652,119.1619996115,36.71265,119.168374,山东省潍坊市奎文区胜利东街97号,-,山东省 潍坊市
37.4626933218,121.4427778653,37.463685466,121.4480081729,37.47004,121.454417,山东省烟台市莱山区芙蓉路6号,-,山东省 烟台市
37.5094889126,122.115963744,37.5105229455,122.1210223902,37.516431,122.127545,山东省威海市环翠区新威路15号,-,山东省 威海市
36.0658569754,120.3778488118,36.0661215076,120.382971831,36.072227,120.389458,山东省青岛市市南区香港中路11号,-,山东省 青岛市
35.4167602174,119.5215507661,35.4165066326,119.5270224726,35.422839,119.533418,山东省日照市东港区北京路198号,-,山东省 日照市
35.1051786204,118.3512569532,35.104766063,118.3569861517,35.110672,118.363537,山东省临沂市兰山区上海路,-,山东省 临沂市
34.8108621499,117.3181026756,34.810056131,117.3239820778,34.815994,117.330539,山东省枣庄市薛城区,-,山东省 枣庄市
35.4149519391,116.5817029023,35.4145147235,116.5869975829,35.420177,116.593614,山东省济宁市市中区红星中路11号,-,山东省 济宁市
36.1996828611,117.0819236166,36.1999209487,117.0879693157,36.205857,117.094492,山东省泰安市泰山区望岳东路3号,-,山东省 泰安市
36.2136111705,117.6707953049,36.2135895289,117.676647885,36.219357,117.683221,山东省莱芜市莱城区文化北路1号,-,山东省 莱芜市
37.3813058909,117.9650692486,37.3819367692,117.9709486508,37.388197,117.9774,山东省滨州市滨城区黄河五路385,-,山东省 滨州市
35.2340579469,115.4751257304,35.2336811037,115.4809944037,35.239408,115.487549,山东省菏泽市牡丹区中华路1009号,-,山东省 菏泽市
34.7483736297,113.6189450688,34.7471834095,113.6249854035,34.75344,113.631416,河南省郑州市中原区中原西路233号,-,河南省 郑州市
34.7733737116,111.1940251407,34.7724131858,111.2000279245,34.778326,111.20653,河南省三门峡市湖滨区崤山东路辅路,-,河南省 三门峡市
34.619057698,112.4467170504,34.6180510455,112.4529934195,34.624264,112.459424,河南省洛阳市洛龙区开元大道230号,-,河南省 洛阳市
35.2155356018,113.235648886,35.215027176,113.2420164502,35.220964,113.248549,河南省焦作市解放区人民路889号,-,河南省 焦作市
35.3044764993,113.9210947432,35.3038854532,113.926995603,35.30964,113.933597,河南省新乡市红旗区,-,河南省 新乡市
35.7467752505,114.2910772162,35.7466925212,114.2969888049,35.752359,114.303591,河南省鹤壁市淇滨区九州路91,-,河南省 鹤壁市
36.0998730133,114.3868900688,36.1000420545,114.3929786833,36.10594,114.399503,河南省安阳市文峰区紫薇大道,-,河南省 安阳市
35.7618212161,115.0231226215,35.761808157,115.0289912948,35.767593,115.035593,河南省濮阳市华龙区人民路51号,-,河南省 濮阳市
34.7981088276,114.3021573122,34.7972058002,114.3079830702,34.802885,114.314595,河南省开封市开封市晋安路58,-,河南省 开封市
34.4154762671,115.650492656,34.41410002,115.6559750912,34.420202,115.662449,河南省商丘市梁园区府前路,-,河南省 商丘市
34.0368806277,113.8461344005,34.0353470168,113.8520298959,34.041433,113.858472,河南省许昌市魏都区建安大道1516号,-,河南省 许昌市
33.5829800283,114.0110842711,33.5814651407,114.0169744021,33.58771,114.023419,河南省漯河市郾城区淮河路10号,-,河南省 漯河市
33.7675803178,113.1867059274,33.7661667049,113.1929930253,33.77205,113.199529,河南省平顶山市新华区市政大楼东西路,-,河南省 平顶山市
32.9925973408,112.5221088366,32.9906537602,112.5279989676,32.996561,112.534504,河南省南阳市卧龙区中州中路307号,-,河南省 南阳市
32.1488519792,114.0851318116,32.1469080566,114.0910165782,32.153014,114.097484,河南省信阳市平桥区新五大道,-,河南省 信阳市
33.6272876677,114.6915243156,33.6257154162,114.6969691999,33.631829,114.703481,河南省周口市川汇区庆丰东路,-,河南省 周口市
33.0135701415,114.0160884662,33.0117484491,114.0219517752,33.017842,114.028467,河南省驻马店市驿城区京深线辅路,-,河南省 驻马店市
30.5952058577,114.2995568195,30.5927863203,114.3049856105,30.598467,114.311586,湖北省武汉市江岸区沿江大道188号,-,湖北省 武汉市
32.6313224137,110.7926707959,32.6291631431,110.7980030274,32.635063,110.804529,湖北省十堰市茅箭区北京中路8,-,湖北省 十堰市
32.0110017292,112.1158913347,32.009059376,112.1219853136,32.014797,112.128533,湖北省襄阳市襄城区檀溪路146号,-,湖北省 襄阳市
31.0376229947,112.1941613004,31.0354259505,112.2000031516,31.041733,112.206389,湖北省荆门市东宝区象山大道70-8号,-,湖北省 荆门市
30.9272652429,113.9105141086,30.9247895631,113.9160019082,30.93069,113.922512,湖北省孝感市孝南区城站路30-6,-,湖北省 孝感市
30.4561088072,114.8669118707,30.453459197,114.8719812457,30.459359,114.878489,湖北省黄冈市黄州区七一路10-55号,-,湖北省 黄冈市
30.3935852383,114.8899566367,30.3909016088,114.8949991896,30.396571,114.901611,湖北省鄂州市鄂城区,-,湖北省 鄂州市
30.2017072395,115.033628615,30.1992780187,115.0390037619,30.205208,115.045529,湖北省黄石市下陆区杭州东路1,-,湖北省 黄石市
29.8436057805,114.316608342,29.8411304983,114.3219995821,29.847056,114.328519,湖北省咸宁市咸安区双鹤路16,-,湖北省 咸宁市
30.337644333,112.2332542605,30.3350979517,112.2389673657,30.340843,112.245519,湖北省荆州市沙市区江津西路285号,-,湖北省 荆州市
30.6941311497,111.2803506288,30.6916910497,111.2859886321,30.697446,111.292552,湖北省宜昌市伍家岗区沿江大道102号,-,湖北省 宜昌市
30.2747033551,109.4831111111,30.2721785779,109.4880249181,30.277939,109.494593,湖北省恩施土家族苗族自治州恩施市舞阳大道一巷21-13号,-,湖北省 恩施土家族苗族自治州
28.2323044791,112.9335132442,28.2287974682,112.9389527641,28.23489,112.94547,湖南省长沙市岳麓区俯前路208号,-,湖南省 长沙市
29.1197660294,110.4740787954,29.1169260509,110.4790355177,29.122817,110.485532,湖南省张家界市永定区南庄路2,-,湖南省 张家界市
29.0345154501,111.6933973772,29.0314997303,111.6989978296,29.03775,111.705449,湖南省常德市武陵区朗州路120号,-,湖南省 常德市
28.5569611521,112.3492896733,28.553804293,112.3549813208,28.559712,112.361517,湖南省益阳市赫山区梓山西路8,-,湖南省 益阳市
29.3596251855,113.1230619813,29.3570817403,113.1290325786,29.363177,113.135488,湖南省岳阳市岳阳楼区金鹗中路135号,-,湖南省 岳阳市
27.8305987605,113.1281726916,27.8274724514,113.1340145428,27.833568,113.140474,湖南省株洲市天元区天台路60,-,湖南省 株洲市
27.8330748358,112.9385603206,27.8296120151,112.943967654,27.835703,112.950464,湖南省湘潭市岳塘区湘潭大道辅路,-,湖南省 湘潭市
26.8969110319,112.5667475281,26.8933421304,112.5719939289,26.899575,112.578449,湖南省衡阳市蒸湘区解放大道16号,-,湖南省 衡阳市
25.773562379,113.0095017237,25.7705722612,113.0149734301,25.776683,113.021458,湖南省郴州市北湖区五岭大道9号,-,湖南省 郴州市
26.4232108746,111.607741452,26.4196224378,111.6129824884,26.425864,111.619454,湖南省永州市冷水滩区逸云路1号-12楼,-,湖南省 永州市
27.2422421467,111.462396958,27.2390372925,111.467992046,27.245271,111.474432,湖南省邵阳市大祥区城北路6号,-,湖南省 邵阳市
27.5725626096,109.9973187621,27.5692436855,110.0019911702,27.575161,110.008514,湖南省怀化市鹤城区府前路北,-,湖南省 怀化市
27.7006283894,111.989489251,27.6972893544,111.9949770506,27.703208,112.001503,湖南省娄底市娄星区S209(湘中大道),-,湖南省 娄底市
28.3150704659,109.7342625654,28.311689202,109.7389939821,28.317368,109.74558,湖南省湘西土家族苗族自治州吉首市人民北路58号,-,湖南省 湘西土家族苗族自治州
23.1317626641,113.2596645241,23.129093973,113.2649860268,23.135336,113.271429,广东省广州市越秀区吉祥路79号,-,广东省 广州市
23.6844595976,113.0505292813,23.6819788256,113.05597953,23.688229,113.062465,广东省清远市清城区人民二路18号,-,广东省 清远市
24.8131741868,113.5917905163,24.8101213413,113.5969886373,24.81588,113.603524,广东省韶关市浈江区风度北路129号,-,广东省 韶关市
23.7460938985,114.6962987712,23.7434375001,114.7009872726,23.749685,114.707442,广东省河源市源城区沿江中路19号,-,广东省 河源市
24.2908863901,116.1181755327,24.2882655732,116.1230035089,24.294177,116.129541,广东省梅州市梅江区新中路1号,-,广东省 梅州市
23.6591230603,116.6186325047,23.6563714708,116.6229830477,23.662623,116.629466,广东省潮州市湘桥区枫春路,-,广东省 潮州市
23.355987358,116.6775279967,23.3533230655,116.6819750992,23.359091,116.688529,广东省汕头市金平区跃进路30号,-,广东省 汕头市
23.5520462947,116.3673028178,23.549641737,116.3719966836,23.555741,116.378515,广东省揭阳市榕城区临江北路辅路,-,广东省 揭阳市
22.7882313483,115.3700552978,22.7855903606,115.3749798336,22.791262,115.381549,广东省汕尾市城区莲塘四街28号,-,广东省 汕尾市
23.1131784052,114.4120294806,23.1106918618,114.4170022961,23.116359,114.42356,广东省惠州市惠城区云山西路6号,-,广东省 惠州市
23.0236914965,113.7467973637,23.0209761881,113.7519901204,23.027308,113.758418,广东省东莞市东莞市鸿福路99号,-,广东省 东莞市
22.5455145546,114.0528899134,22.5427748091,114.0579807461,22.548456,114.064552,广东省深圳市福田区新园路37号,-,广东省 深圳市
22.2739003728,113.570952851,22.2709021318,113.5760114972,22.276564,113.582557,广东省珠海市香洲区人民东路8号,-,广东省 珠海市
22.5815322443,113.0765347965,22.5788426278,113.0819743163,22.584604,113.088552,广东省江门市蓬江区白沙大道西1号-1幢,-,广东省 江门市
23.0243820777,113.1165154334,23.0218445002,113.122003233,23.027759,113.128509,广东省佛山市禅城区岭南大道北37号,-,广东省 佛山市
23.0494052021,112.4597240973,23.0468137027,112.4650026846,23.052889,112.471488,广东省肇庆市端州区城中路57号,-,广东省 肇庆市
22.9176526896,112.0396828112,22.9149796392,112.0449774918,22.920911,112.051512,广东省云浮市云城区府前路1号,-,广东省 云浮市
21.8609819585,111.9769142424,21.8582336912,111.9819675242,21.864339,111.988487,广东省阳江市江城区东风二路62号,-,广东省 阳江市
21.6660715391,110.9204961073,21.6632897186,110.9249914896,21.669064,110.931541,广东省茂名市茂南区油城六路2号,-,广东省 茂名市
21.2731891758,110.3545150187,21.2708047951,110.3590050366,21.276724,110.365554,广东省湛江市赤坎区跃进路67号,-,广东省 湛江市
20.0403444772,110.31463596,20.0382630996,110.3189704098,20.04405,110.325526,海南省海口市龙华区港湾路,-,海南省 海口市
18.2546717903,109.5079085532,18.2529855722,109.512012333,18.258736,109.51856,海南省三亚市新风街257,-,海南省 三亚市
18.7770051285,109.5128773537,18.7752478457,109.5170025912,18.780994,109.52354,海南省五指山市五指山市国兴路,-,海南省 五指山市
30.6522716787,104.0724954128,30.6498628703,104.0750113249,30.655823,104.08153,四川省成都市锦江区红星路4段-88号-附1号,-,四川省 成都市
32.4376866745,105.840279405,32.4353143275,105.8440076755,32.441617,105.850419,四川省广元市利州区人民路7号,-,四川省 广元市
31.4701176109,104.6763582416,31.4678481923,104.6789760776,31.473663,104.68556,四川省绵阳市涪城区绵兴东路98,-,四川省 绵阳市
31.1289578432,104.3953126534,31.1268271669,104.397989498,31.133116,104.404417,四川省德阳市旌阳区长江西路1段-37号,-,四川省 德阳市
30.8401242884,106.1069621355,30.8378581583,106.1109908134,30.843783,106.117504,四川省南充市顺庆区,-,四川省 南充市
30.4587650669,106.6292128826,30.4559906042,106.6329947973,30.461747,106.639554,四川省广安市广安区思源大道2号,-,四川省 广安市
30.5355828916,105.5895932565,30.5328060894,105.5930103908,30.539097,105.599424,四川省遂宁市船山区,-,四川省 遂宁市
29.5827659378,105.0548106068,29.5801816074,105.0580077999,29.585886,105.064591,四川省内江市市中区翔龙路6,-,四川省 内江市
29.5548027112,103.7637710059,29.5520636247,103.7659865105,29.55794,103.77254,四川省乐山市市中区泊水街97号,-,四川省 乐山市
29.342178451,104.7753203245,29.3393448457,104.7780239912,29.345585,104.784445,四川省自贡市自流井区丹桂大街188号,-,四川省 自贡市
28.8747972457,105.4384130385,28.8717862569,105.4420179274,28.877668,105.448526,四川省泸州市江阳区江阳西路1号,-,四川省 泸州市
28.7551207751,104.6406234887,28.7517018719,104.6429999259,28.758007,104.649403,四川省宜宾市翠屏区蜀南大道西段-8号,-,四川省 宜宾市
26.5857268079,101.717435423,26.5821673517,101.7190125619,26.588034,101.725544,四川省攀枝花市东区炳草岗大街7,-,四川省 攀枝花市
31.8693811995,106.7408537452,31.8672035383,106.7449897115,31.872889,106.751582,四川省巴中市巴州区育才街8,-,四川省 巴中市
31.210736931,107.4633116703,31.2086309943,107.4680055361,31.214307,107.474592,四川省达州市通川区永兴路2号,-,四川省 达州市
30.1316128807,104.6255914686,30.1287687499,104.6279786346,30.134956,104.634437,四川省资阳市雁江区广场路9号,-,四川省 资阳市
30.0796343193,103.847895194,30.076825886,103.8500034103,30.082527,103.856567,四川省眉山市东坡区东坡大道北一段,-,四川省 眉山市
30.0134944913,103.0410103628,30.0109119568,103.0429791042,30.016792,103.049539,四川省雅安市雨城区正和路,-,四川省 雅安市
31.9015758624,102.2233261858,31.8993445008,102.224983791,31.905512,102.231416,四川省阿坝藏族羌族自治州马尔康县达尔玛街6号,-,四川省 阿坝藏族羌族自治州
30.0522284068,101.9604846124,30.0494054767,101.9619973783,30.055278,101.968545,四川省甘孜藏族自治州康定县光明路11号,-,四川省 甘孜藏族自治州
27.8850471918,102.2655289699,27.8816191587,102.2670256425,27.887752,102.273502,四川省凉山彝族自治州西昌市三岔口南路66号,-,四川省 凉山彝族自治州
26.6512280693,106.6264396887,26.6475649979,106.6300070267,26.653324,106.63658,贵州省贵阳市乌当区林城东路7,-,贵州省 贵阳市
26.5967000742,104.8284610732,26.593097758,104.8310091718,26.598834,104.837553,贵州省六盘水市钟山区钟山西路47号,-,贵州省 六盘水市
27.7289171118,106.92318599,27.725384308,106.9269947268,27.731701,106.933426,贵州省遵义市汇川区人民路343,-,贵州省 遵义市
27.3002681419,105.2906734103,27.2969074164,105.2939081544,27.302612,105.300492,贵州省毕节市七星关区清毕路,-,贵州省 毕节地区
27.7232208626,109.1851508301,27.7199634697,109.1897374075,27.726271,109.196161,贵州省铜仁市碧江区共青路2号,-,贵州省 铜仁地区
26.2565938317,105.9446310606,26.2530482282,105.9479784575,26.259253,105.954416,贵州省安顺市西秀区,-,贵州省 安顺市
26.5870255537,107.9788736566,26.5834756918,107.9829935296,26.589704,107.989447,贵州省黔东南苗族侗族自治州凯里市北京路46号,-,贵州省 黔东南苗族侗族自治州
26.2577354786,107.5178192958,26.2543197702,107.5220089063,26.260616,107.5284,贵州省黔南布依族苗族自治州都匀市环东中路117号,-,贵州省 黔南布依族苗族自治州
25.0909478587,104.9035481377,25.0878482581,104.9060104056,25.093968,104.91249,贵州省黔西南布依族苗族自治州兴义市遵义路,-,贵州省 黔西南布依族苗族自治州
24.8830472045,102.8315724747,24.8799960861,102.8329994099,24.886272,102.839443,云南省昆明市呈贡区吉安街,-,云南省 昆明市
25.4931106508,103.7939659645,25.4901231954,103.7960044434,25.496407,103.802436,云南省曲靖市麒麟区文昌街80号,-,云南省 曲靖市
24.355062922,102.5457141237,24.3520232749,102.5469908552,24.35771,102.553557,云南省玉溪市红塔区聂耳路34号,-,云南省 玉溪市
26.858059591,100.2248715056,26.8545324987,100.2260194911,26.860657,100.232462,云南省丽江市古城区玉雪大道262,-,云南省 丽江市
27.3415491737,103.7149334923,27.3381229452,103.7170148865,27.344083,103.72351,云南省昭通市昭阳区崇义街32,-,云南省 昭通市
22.9428784646,100.696840639,22.9399787709,100.6979135226,22.946233,100.704376,云南省普洱市思茅区,-,云南省 思茅市
23.8867991002,100.0877381507,23.8842142344,100.0889934245,23.890468,100.095443,云南省临沧市临翔区世纪路350,-,云南省 临沧市
25.136166777,99.1697927107,25.1333064065,99.1707046618,25.139039,99.177276,云南省保山市隆阳区学府路,-,云南省 保山市
24.4354734214,98.5846384401,24.4323087185,98.5847940082,24.438011,98.591356,云南省德宏傣族景颇族自治州芒市勇罕街5号,-,云南省 德宏傣族景颇族自治州
25.8468752409,98.8550107553,25.8435537732,98.8554130867,25.849565,98.861926,云南省怒江傈僳族自治州泸水县向阳南路27号,-,云南省 怒江僳僳族自治州
27.8225188241,99.701995566,27.8190224755,99.7030845429,27.825185,99.709531,云南省迪庆藏族自治州香格里拉县长征大道21,-,云南省 迪庆藏族自治州
25.6094589341,100.2668957242,25.6064258445,100.2679954299,25.612129,100.274583,云南省大理白族自治州大理市,-,云南省 大理白族自治州
25.0484830019,101.5265073353,25.045479588,101.5280093723,25.051773,101.534412,云南省楚雄彝族自治州楚雄市丰胜路667,-,云南省 楚雄彝族自治州
23.3667954741,103.3729871399,23.3642840398,103.3750041611,23.369996,103.381552,云南省红河哈尼族彝族自治州蒙自市天马路67号,-,云南省 红河哈尼族彝族自治州
23.4029147933,104.2138889836,23.4002859666,104.2160025643,23.405995,104.222573,云南省文山壮族苗族自治州文山市华龙北路,-,云南省 文山壮族苗族自治州
22.0101716541,100.7958543399,22.0073317851,100.7969915965,22.013601,100.803443,云南省西双版纳傣族自治州景洪市宣慰大道69号,-,云南省 西双版纳傣族自治州
34.3425803471,108.9353552803,34.3410346479,108.9400062307,34.347269,108.946465,陕西省西安市未央区凤城八路109号,-,陕西省 西安市
36.5853366801,109.4845813524,36.5854486819,109.4900047789,36.591112,109.496579,陕西省延安市宝塔区南关街57号,-,陕西省 延安市
34.8975111226,108.9412881216,34.896411072,108.9459819874,34.902638,108.952403,陕西省铜川市耀州区正阳路辅路,-,陕西省 铜川市
34.5012624256,109.5048795525,34.4999672304,109.5100454871,34.505715,109.516593,陕西省渭南市临渭区东风街83号,-,陕西省 渭南市
34.3305867525,108.7043230293,34.329156036,108.708990073,34.335476,108.715421,陕西省咸阳市秦都区渭阳中路6号,-,陕西省 咸阳市
34.3645472211,107.2332878103,34.3631524399,107.2379924049,34.368915,107.244572,陕西省宝鸡市金台区,-,陕西省 宝鸡市
33.0694690043,107.0184895963,33.0675719222,107.0229849786,33.0738,107.029427,陕西省汉中市汉台区民主街43号,-,陕西省 汉中市
38.2846800783,109.7294211169,38.285193822,109.7350001117,38.290882,109.741618,陕西省榆林市榆阳区青山东路,-,陕西省 榆林市
33.8740088276,109.9130380956,33.8723119979,109.9179894534,33.878633,109.924415,陕西省商洛市商州区江滨南路,-,陕西省 商洛市
32.6868018889,109.0241487624,32.6847341226,109.0290035607,32.690513,109.035604,陕西省安康市汉滨区育才路113号,-,陕西省 安康市
36.0615869885,103.831592499,36.0612834257,103.8340172158,36.067235,103.840524,甘肃省兰州市城关区南滨河东路651号,-,甘肃省 兰州市
39.7708668653,98.289186545,39.7717038681,98.2897927242,39.777961,98.2962,甘肃省嘉峪关市嘉峪关市体育大道辅路,-,甘肃省 嘉峪关市
38.5196666869,102.1859721158,38.5201283633,102.1879945014,38.525821,102.194603,甘肃省金昌市金川区新华路82号,-,甘肃省 金昌市
36.5446736927,104.1351288426,36.5447857525,104.1379666197,36.550827,104.144447,甘肃省白银市白银区广场北路,-,甘肃省 白银市
34.587412,105.731421,34.587412,105.731421,34.587412,105.731421,甘肃省天水市秦州区青年北路92号,-,甘肃省 天水市
39.7316118342,98.4935202738,39.7324534486,98.4941747328,39.738468,98.500681,甘肃省酒泉市肃州区富康路,-,甘肃省 酒泉市
38.9251710994,100.4482818624,38.9258138379,100.4499931118,38.932065,100.456409,甘肃省张掖市甘州区南环路679,-,甘肃省 张掖市
37.9281218717,102.6363406644,37.9284011717,102.6380411849,37.934378,102.644556,甘肃省武威市凉州区东大街50号,-,甘肃省 武威市
35.7093006984,107.6382549689,35.7089043188,107.64299175,35.715216,107.649384,甘肃省庆阳市西峰区庆州西路,-,甘肃省 庆阳市
35.5434807617,106.6607864342,35.5430049667,106.6649867735,35.549232,106.671444,甘肃省平凉市崆峒区西大街141,-,甘肃省 平凉市
35.5811839866,104.6233189388,35.5806429849,104.6259796901,35.586834,104.632416,甘肃省定西市安定区中华路30号,-,甘肃省 定西市
33.3720344827,104.9573024298,33.3701396321,104.9603011395,33.376033,104.966864,甘肃省陇南市武都区广场西路,-,甘肃省 陇南市
35.6016726621,103.2077435116,35.6013280782,103.2099965672,35.607562,103.21639,甘肃省临夏回族自治州临夏市红园路15,-,甘肃省 临夏回族自治州
34.98451863,102.9092828054,34.9833979456,102.911010148,34.989139,102.917587,甘肃省甘南藏族自治州合作市当周街,-,甘肃省 甘南藏族自治州
36.6172060345,101.7760771664,36.617137137,101.7780298146,36.623385,101.784446,青海省西宁市城中区南关街43,-,青海省 西宁市
36.474391321,102.4064238916,36.4744517155,102.4084516416,36.480169,102.415039,青海省海东地区乐都县附小路8号,-,青海省 海东地区
36.9545388536,100.8995431397,36.9545002703,100.9010022614,36.960664,100.90743,青海省海北藏族自治州海晏县同宝路4,-,青海省 海北藏族自治州
36.286795918,100.6187129111,36.2863980681,100.619995007,36.292103,100.62662,青海省海南藏族自治州共和县团结北路26,-,青海省 海南藏族自治州
35.5199780074,102.0141383949,35.519554488,102.0160052124,35.525804,102.022425,青海省黄南藏族自治州同仁县夏琼北路51,-,青海省 黄南藏族自治州
34.4728216798,100.2436736559,34.4713624012,100.2450201248,34.477193,100.251596,青海省果洛藏族自治州玛沁县团结路310号,-,青海省 果洛藏族自治州
33.0072772985,97.0062068462,33.0051315024,97.006614542,33.01098,97.013177,青海省玉树藏族自治州玉树县民主路14号,-,青海省 玉树藏族自治州
37.3765208322,97.3688828677,37.3769983178,97.3696875304,37.382749,97.376299,青海省海西蒙古族藏族自治州德令哈市乌兰东路16号,-,青海省 海西蒙古族藏族自治州
